TIC ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,M_p,dM_p,LCO_rms,rms_err,Data,Notes,no_data
470381900,1696.01,1,VPC,2.500353,0.0005110,1816.697706,0.98,65.280563,48.819914,13.97,11012,2.969,1.348,0.280,0.009,3181,4.954,0,,,19,0.0971,18.11,0.00,13.0,0.3,484,,,,,FALSE,,TRUE
398733009,464.01,1,VPC,0.818605,0.0000100,1411.561846,0.94,32.169760,-9.04604800,15.72,54404,4.470,,0.180,,8964,5.600,0,,2600.00,4,0.2278,11.56,0.00,2003.7,0.3,1705,,,-,-,FALSE,,TRUE
285048486,1728.01,1,VPC+,3.491567,0.0001410,1843.274889,1.89,120.610626,64.796925,10.79,5520,4.699,0.362,0.633,0.019,3907,4.954,0,,,20,0.0681,13.15,0.00,55.9,0.3,697,,,,,FALSE,,TRUE
353475866,1693.01,1,VPC,1.766671,0.0002950,1817.683149,1.02,90.308465,34.773167,10.67,1006,1.479,2.184,0.461,0.014,3474,5.000,0,,,19,,,,,,,,,,,FALSE,,TRUE
406941612,912.01,1,VPC,4.679100,0.0006840,1628.403947,1.79,229.340400,-80.47290000,10.37,2039,2.221,0.375,0.427,0.013,3482,4.835,0,0.421,26.11,12,0.0478,20.79,0.00,14.1,0.3,494,,,,,FALSE,,TRUE
235683377,1442.01,1,VPC,0.409056,0.0000110,1683.45301,0.68,287.290805,74.17228400,12.49,1271,1.109,1.418,0.309,0.009,3328,5.000,0,,,"14, 15, 16",,,,,,,,,,,FALSE,,TRUE
201186294,1634.01,1,VPC-,0.989330,0.0001060,1791.515001,1.04,56.390169,37.112222,11.01,1520,1.830,1.730,0.465,0.014,3455,5.000,0,,,18,,,,,,,,,,,FALSE,,TRUE
118327550,244.01,1,VPC,7.397229,0.0002000,1357.365444,1.15,10.570615,-36.71813800,10.32,1012,3.400,,0.562,,3844,4.438,0,,22.00,2,0.0555,23.47,0.00,16.4,0.3,513,,,-,-,FALSE,,TRUE
141608198,210.01,5,VPC+,9.010138,0.0002890,1329.821358,1.87,88.960448,-73.98465900,12.51,4415,7.051,,0.602,,3937,4.438,0,,42.70,1,0.1075,25.58,0.00,15.2,0.5,463,,,-,-,FALSE,,TRUE
387690507,530.01,3,VPC+,6.388488,0.0011230,1470.200137,2.51,103.412800,12.88180000,13.45,27556,8.128,,0.486,,3688,4.782,0,,204.40,6,0.1534,23.46,0.00,13.9,0.5,453,,,-,-,FALSE,,TRUE
219229644,870.01,4,VPC+,22.037531,0.0003000,1390.801328,2.16,63.318600,-50.94450000,10.88,1283,2.142,2.110,0.611,0.018,3782,4.697,0,0.597,53.80,5,0.0322,45.97,0.00,4.0,0.3,361,,,-,-,FALSE,,TRUE
425934411,142.01,5,VPC+,0.853319,0.0012070,1325.489793,1.14,4.605790,-62.84788600,14.67,27850,21.800,,0.700,,3658,4.438,0,,,1,0.2857,4.81,0.00,321.5,0.3,,,,-,-,FALSE,,TRUE
163539739,1278.01,1,VPC,14.476217,0.0021930,1711.959772,1.56,320.478919,35.64882700,11.78,10350,9.281,19.493,0.550,0.016,3841,5.000,0,,75.58,15,0.1547,37.25,0.00,6.5,0.3,407,,,,,FALSE,,TRUE
151825527,672.01,3,VPC+,3.633618,0.0012070,1546.479924,1.79,167.990400,-39.32780000,11.56,9034,5.033,,0.525,,4105,4.752,0,,,9,0.0880,15.30,0.00,50.3,0.3,,,,-,-,FALSE,,TRUE
439456714,277.01,1,VPC+,3.994244,0.0012070,1389.029170,2.04,19.077200,-20.95220000,11.68,5784,4.323,,0.517,,4107,4.757,0,,,3,0.0767,16.46,0.00,43.6,0.3,,,,-,-,FALSE,Crossfield AC Target,TRUE
44647437,435.01,1,VPC+,3.353023,0.0012070,1411.843915,1.96,59.410460,-25.18996200,12.83,3743,6.053,,0.618,,3978,4.438,0,,,5,0.0899,13.00,0.00,61.4,0.3,,,,-,-,FALSE,,TRUE
141527579,698.01,1,VPC,15.086650,0.0070700,1328.944396,2.18,87.736100,-76.62030000,12.34,2005,1.959,,0.425,,3570,4.832,0,,111.00,5,0.0423,45.49,0.00,3.3,0.3,342,,,-,-,FALSE,,TRUE
415969908,233.01,1,VPC,11.669804,0.0003000,1365.263100,2.01,343.709965,-18.91185800,11.26,2699,2.570,,0.464,,3644,4.799,0,,71.70,2,0.0508,36.15,0.69,5.6,0.3,392,,,-,-,FALSE,,TRUE
452866790,488.01,1,VPC,1.198005,0.0001920,1492.202188,1.06,120.595300,3.33880000,11.13,1051,1.162,,0.347,,3332,4.915,0,,40.70,7,0.0307,9.62,0.00,55.2,0.3,695,,,-,-,FALSE,,TRUE
