TIC_ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,Notes,M_p,dM_p,LCO_rms,rms_err,Data
243185500,1468.02,1,P,1.8805280,0.001207,1765.678776,1.1,16.654062,19.2258780,10.9,1530,1.50,0.50,0.369,0.011,3382,5.0,0,0.369,24.74,17,0.0373,12.47,0.00,34.9,0.3,620,Chaturvedi+ (in prep),,,,,FALSE
370133522,1078.01,1,P,0.5182240,0.000025,1654.105559,0.7,306.925400,-56.4573000,10.3,848,1.13,1.07,0.383,0.017,3325,4.9,0,0.383,22.40,13,0.0272,5.15,0.00,191.0,0.3,947,GJ 1252b Shporer+ (in prep),,,,,FALSE
150428135,700.01,4,P,16.0510400,0.000225,1340.087963,1.2,97.096855,-65.5793060,10.9,2704,5.47,1.00,0.378,0.050,3482,4.4,0,0.378,31.10,"9,8,7,6,5,4,3,1",0.1327,51.26,0.00,2.3,0.3,315,Gilbert et al (in prep),,,-,-,FALSE
150428135,700.02,1,P,37.4248120,0.002622,1330.474463,3.3,97.096855,-65.5793060,10.9,721,2.69,1.00,0.378,0.050,3482,4.4,0,0.378,31.10,"9,8,7,6,5,4,3,1",0.0652,90.13,0.00,0.8,0.3,237,Gilbert et al (in prep),,,-,-,FALSE
150428135,700.03,1,P,9.9773858,0.000263,1331.359240,2.0,97.096855,-65.5793060,10.9,598,2.45,1.00,0.378,0.050,3482,4.4,0,0.378,31.10,"9,8,7,6,5,4,3,1",0.0595,37.34,0.00,4.4,0.3,369,Gilbert et al (in prep),,,,,FALSE
77156829,696.01,1,P,0.8602483,0.000015,1411.473809,0.5,68.177600,-39.7867000,10.5,641,1.07,1.00,0.361,0.050,3450,4.9,0,0.361,39.40,5,0.0272,7.51,0.00,104.1,0.3,814,Silverstein+ (in prep),,,-,-,FALSE
77156829,696.02,1,P,3.6942600,0.000500,1414.759370,1.4,68.177600,-39.7867000,10.5,1050,1.18,1.00,0.361,0.050,3450,4.9,0,0.361,39.40,5,0.0299,19.85,0.00,14.9,0.3,501,Silverstein+ (in prep),,,-,-,FALSE
467179528,1266.01,1,P,10.8947710,0.002376,1691.004583,2.1,197.998168,65.8338070,11.0,3189,2.49,0.66,0.436,0.013,3618,5.0,0,0.431,36.01,14,0.0524,36.01,0.00,5.5,0.3,390,Stefansson+ 2020,,,,,FALSE
467179528,1266.02,1,P,18.7954500,0.002552,1689.964649,1.9,197.998168,65.8338070,11.0,1444,1.67,1.68,0.436,0.013,3618,5.0,0,0.436,36.01,"14, 15",0.0353,51.80,0.00,2.6,0.3,325,Stefansson+ 2020,,,,,FALSE
390651552,1827.01,1,P,1.4669690,0.000052,1928.225191,1.0,191.985937,9.7513980,8.8,1600,1.33,0.51,0.331,0.010,3297,5.0,0,0.331,8.07,23,0.0369,11.35,0.00,38.0,0.3,633,Palle+ in prep,,,,,FALSE
218795833,519.01,5,P,1.2652230,0.000036,1491.877254,1.2,124.607000,-19.6629000,14.5,139604,9.50,1.00,0.251,0.050,3225,5.0,0,0.251,114.90,7,0.3471,12.38,0.00,29.3,0.3,593,WASP-124,,,-,-,FALSE
306996324,776.01,1,P,15.6647130,0.000090,1572.604521,2.8,178.576600,-37.5527000,9.7,1484,2.16,1.00,0.545,0.050,3806,4.7,0,0.545,39.40,10,0.0363,39.52,0.00,5.6,0.3,392,Luque+ 2020 (in prep),,,-,-,FALSE
306996324,776.02,1,P,8.2467710,0.000200,1571.415385,2.4,178.576600,-37.5527000,9.7,1063,1.79,1.00,0.545,0.050,3806,4.7,0,0.545,39.40,10,0.0301,25.76,0.00,13.1,0.3,485,Luque+ 2020 (in prep),,,-,-,FALSE
396562848,1640.01,1,P,1.9495130,0.000146,1792.604851,0.7,44.326080,76.5531250,11.1,2697,1.37,1.05,0.260,0.008,3414,5.0,0,0.260,18.23,18,0.0481,16.13,0.00,21.7,0.3,550,Palle+ (in prep),,,,,FALSE
172370679,1899.01,1,P,29.0200000,0.360000,1711.959310,4.9,299.426648,40.1432650,12.6,30464,11.32,0.44,0.618,0.018,3854,5.0,0,0.618,128.44,"14,15",0.1682,54.82,0.00,3.0,0.3,337,Canas+ 2020,,,,,FALSE
452866790,488.01,1,P,1.1980053,0.000192,1492.202188,1.1,120.595300,3.3388000,11.1,1051,1.16,1.00,0.347,0.050,3332,4.9,0,0.347,40.70,7,0.0307,9.62,0.00,55.2,0.3,695,Kemmer+ 2020 (submitted),,,-,-,FALSE
28900646,1685.01,1,P,0.6691497,0.000073,1816.225016,0.9,68.593730,43.0374140,11.1,998,1.47,2.62,0.462,0.014,3457,5.0,0,0.462,37.62,19,0.0291,5.39,0.00,204.0,0.3,963,,,,,,FALSE
307210830,175.01,5,P,3.6904000,0.000300,1367.275200,1.3,124.531900,-68.3130000,9.4,1830,1.35,0.07,0.314,0.001,3412,4.9,0,0.312,10.62,2,0.0394,21.77,0.00,11.9,0.3,473,"L 98-59c, Cloutier et al 2019",2.46,0.31,-,-,FALSE
307210830,175.02,5,P,7.4512000,0.000700,1362.737600,0.8,124.531900,-68.3130000,9.4,1640,1.57,0.14,0.314,0.001,3412,4.9,0,0.312,10.62,2,0.0459,34.78,0.85,4.6,0.3,374,"L 98-59d, Cloutier et al 2019",2.26,0.50,0.000318,0.0000678,TRUE
307210830,175.03,5,P,2.2531000,0.000400,1366.170800,1.0,124.531900,-68.3130000,9.4,571,0.80,0.05,0.314,0.001,3412,4.9,0,0.312,10.62,2,0.0234,15.67,0.67,22.9,0.3,558,"L 98-59b, Cloutier et al 2019",0.98,0.00,-,-,FALSE
410153553,136.01,5,P,0.4629279,0.000002,1325.725680,0.5,340.492100,-69.1690000,11.9,4681,1.32,0.02,0.189,0.006,3036,5.1,0,0.151,14.90,1,0.0640,7.11,0.22,69.8,0.3,805,"LHS 3844b, Vanderspek et al 2018",-,-,0.0008963,0.0001911,TRUE
181804752,736.01,5,P,4.9897770,0.000050,1546.508850,1.2,165.691500,-16.4062000,13.5,17848,2.31,0.25,0.171,0.018,2960,5.1,0,0.139,26.49,9,0.1238,34.48,0.28,2.7,0.3,370,"LP 791-18c, Crossfield et al 2019",-,-,0.0007272,0.0001818,TRUE
181804752,736.02,5,P,0.9479949,0.000006,1645.944380,0.6,165.691500,-16.4062000,13.5,4556,1.12,0.13,0.171,0.018,2960,5.1,0,0.139,26.49,9,0.0604,11.11,0.54,25.8,0.3,650,"LP 791-18b, Crossfield et al 2019",-,-,0.0007272,0.0001818,TRUE
181804752,736.31,5,P,2.7534330,0.000040,1772.162260,0.9,165.691500,-16.4062000,13.5,4000,1.00,0.13,0.171,0.018,2960,5.1,0,0.139,26.49,9,0.0500,24.00,0.30,5.5,0.3,650,"LP 791-18d, Peterson+ 2020",-,-,0.0007272,0.0001818,TRUE
305048087,237.01,5,P,5.4360980,0.000039,1355.249810,1.2,353.242700,-29.4151000,13.5,6531,1.44,0.12,0.211,0.006,3212,5.0,0,0.179,38.11,2,0.0581,34.00,0.30,3.8,0.3,356,LEHPM 5926b,-,-,0.0008824,0.0001667,TRUE
231702397,122.01,5,P,5.0780300,0.000015,1329.121000,1.2,332.947000,-58.9451000,13.0,5468,2.72,0.18,0.334,0.017,3403,5.0,0,0.312,62.12,1,0.0824,26.00,0.73,8.2,0.75,334,LEHPM 4431b,-,-,0.0005496,0.0000943,TRUE
70899085,442.01,1,P,4.0520300,0.000160,1438.385520,1.3,64.190002,-12.0840150,10.7,5530,4.65,0.17,0.610,0.020,3779,5.0,0,0.610,52.62,5,0.0699,14.88,0.00,38.2,0.3,634,,,,,,FALSE
348538431,507.01,4,VPC+,0.8994658,0.000016,1492.096537,1.2,121.629400,-15.7646000,13.2,56465,8.52,0.99,0.304,0.052,3338,4.9,0,0.298,108.00,7,0.2567,5.43,0.79,174.5,0.5,852,,-,-,0.0010103,0.0001559,TRUE
146846569,734.01,3,VPC+,4.7535710,0.000200,1545.448757,1.1,160.891400,-44.6224000,15.0,350734,10.63,1.29,0.201,0.006,2868,5.1,0,0.170,,9,0.5761,46.70,0.77,1.3,0.5,250,,-,-,0.0022966,0.0003631,TRUE
161032923,1080.01,1,VPC+,3.9652560,0.000675,1654.060034,1.0,276.370200,-52.2143000,12.7,4770,2.03,0.95,0.284,0.049,3296,5.0,0,0.284,25.56,13,0.0657,24.42,0.00,8.2,0.3,431,,-,-,-,-,TRUE
27649847,521.01,2,VPC+,1.5428290,0.000050,1492.752769,1.1,123.343800,12.2217000,12.4,2384,1.45,1.00,0.268,0.050,3439,5.0,0,0.268,93.10,7,0.0496,13.53,0.81,31.7,0.3,605,,,,-,-,FALSE
262530407,177.01,5,VPC+,2.8530470,0.000194,1356.153000,1.3,20.439100,-46.7144000,9.4,1590,2.18,0.40,0.516,0.050,3868,4.8,0,0.516,22.40,2,0.0387,13.17,0.54,53.5,0.3,689,,-,-,,,FALSE
389900760,2120.01,1,VPC+,5.7998097,0.001202,1987.219606,1.0,23.504133,65.514916,12.8,12118,4.28,21.50,0.240,0.007,3179,5.0,0,0.240,32.18,25,0.1633,35.18,0.00,3.4,0.3,347,,,,,,TRUE
32090583,218.01,5,VPC+,0.4383740,0.000010,1325.550345,0.8,58.420270,-68.7395320,13.6,2190,5.52,1.00,0.564,0.050,3847,4.4,0,0.564,52.20,1,0.0899,3.56,0.00,715.8,0.3,1318,,,,-,-,FALSE
158588995,674.01,5,VPC+,1.9772380,0.000044,1544.523796,1.0,164.587400,-36.8581000,11.8,14082,4.43,1.00,0.371,0.050,3467,4.9,0,0.371,45.97,9,0.1096,12.85,0.00,36.3,0.3,626,,,,-,-,FALSE
